number,name,status
205,Weak References,Final
203,Augmented Assignments,Final
1,PEP Purpose and Guidelines,Active
201,Lockstep Iteration,Final
103,Collecting information about git,Withdrawn
200,Python 2.0 Release Schedule,Final
101,Doing Python Releases 101,Active
102,Doing Python Micro Releases,Superseded
42,Feature Requests,Withdrawn
13,Python Language Governance,Active
12,Sample reStructuredText PEP Template,Active
100,Python Unicode Integration,Final
20,The Zen of Python,Active
202,List Comprehensions,Final
204,Range Literals,Rejected
160,Python 1.6 Release Schedule,Final
8102,2021 Term Steering Council election,Final
8103,2022 Term Steering Council election,Final
8104,2023 Term Steering Council election,Active
8101,2020 Term Steering Council election,Final
8100,January 2019 Steering Council election,Final
8016,The Steering Council Model,Accepted
8010,The Technical Leader Governance Model,Rejected
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected
8015,Organization of the Python community,Rejected
8012,The Community Governance Model,Rejected
8013,The External Council Governance Model,Rejected
8014,The Commons Governance Model,Rejected
8000,Python Language Governance Proposal Overview,Final
8001,Python Governance Voting Process,Final
8002,Open Source Governance Survey,Final
3333,Python Web Server Gateway Interface v1.0.1,Final
3155,Qualified name for classes and functions,Final
3153,Asynchronous IO support,Superseded
3154,Pickle protocol version 4,Final
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,Final
3152,Cofunctions,Rejected
3151,Reworking the OS and IO exception hierarchy,Final
3148,futures - execute computations asynchronously,Final
3150,Statement local namespaces (aka “given” clause),Deferred
3149,ABI version tagged .so files,Final
3147,PYC Repository Directories,Final
3146,Merging Unladen Swallow into CPython,Withdrawn
3144,IP Address Manipulation Library for the Python Standard Library,Final
3143,Standard daemon process library,Deferred
3142,Add a “while” clause to generator expressions,Rejected
3141,A Type Hierarchy for Numbers,Final
3139,Cleaning out sys and the “interpreter” module,Rejected
3136,Labeled break and continue,Rejected
3135,New Super,Final
3138,String representation in Python 3000,Final
3140,"str(container) should call str(item), not repr(item)",Rejected
3137,Immutable Bytes and Mutable Buffer,Final
3145,Asynchronous I/O For subprocess.Popen,Withdrawn
3132,Extended Iterable Unpacking,Final
3131,Supporting Non-ASCII Identifiers,Final
3133,Introducing Roles,Rejected
3130,Access to Current Module/Class/Function,Rejected
3129,Class Decorators,Final
3134,Exception Chaining and Embedded Tracebacks,Final
3128,BList: A Faster List-like Type,Rejected
3127,Integer Literal Support and Syntax,Final
3125,Remove Backslash Continuation,Rejected
3123,Making PyObject_HEAD conform to standard C,Final
3121,Extension Module Initialization and Finalization,Accepted
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",Deferred
3122,Delineation of the main module,Rejected
3126,Remove Implicit String Concatenation,Rejected
3120,Using UTF-8 as the default source encoding,Final
3119,Introducing Abstract Base Classes,Final
3116,New I/O,Final
3118,Revising the buffer protocol,Final
3117,Postfix type declarations,Rejected
3115,Metaclasses in Python 3000,Final
3112,Bytes literals in Python 3000,Final
3111,Simple input built-in in Python 3000,Final
3114,Renaming iterator.next() to iterator.__next__(),Final
3113,Removal of Tuple Parameter Unpacking,Final
3106,"Revamping dict.keys(), .values() and .items()",Final
3105,Make print a function,Final
3109,Raising Exceptions in Python 3000,Final
3110,Catching Exceptions in Python 3000,Final
3107,Function Annotations,Final
3108,Standard Library Reorganization,Final
3104,Access to Names in Outer Scopes,Final
3101,Advanced String Formatting,Final
3102,Keyword-Only Arguments,Final
3103,A Switch/Case Statement,Rejected
3099,Things that will Not Change in Python 3000,Final
3000,Python 3000,Final
801,Reserved,Active
3001,Procedure for reviewing and improving standard library modules,Withdrawn
3003,Python Language Moratorium,Final
3100,Miscellaneous Python 3.0 Plans,Final
3002,Procedure for Backwards-Incompatible Changes,Final
